title|artist|year|location|duration|tempo|loudness|artist_hotness|song_hotness
Song For Val|The Embarrassment|0||78.75873|186.501|-6.893|0.36|0.2
East Wind Drum Call|David & Steve Gordon|0|California|610.95138|127.986|-18.5|0.19|0.26
Le Coeur Du Volcan|Julien Clerc|0|FR|174.15791|115.756|-6.755|0.36|0.38
Wasted Days And Wasted Nights|Roy Drusky|0|Atlanta, GA|163.36934|88.201|-13.823|0.31|nan
Don't Crush It|Kool Keith|1997||258.19383|90.902|-6.062|0.46|0.51
Time Will Tell|MxPx|2001|Bremerton, WA|88.73751|134.492|-4.404|0.54|0.45
Fool For You|Rocky Hill|0|DE|257.82812|115.018|-6.479|0.2|0.21
Succotash|Claw Hammer|1998||291.7873|149.167|-9.467|0.27|0.27
Pictou County Coal|Undertakin' Daddies|0||177.94567|120.056|-9.548|0.0|0.0
Les Trois Orfèvres|Pierre Perret|2007||132.07465|177.809|-8.118|0.35|nan
What I Like (Womens)|C.C. Adcock|0|Louisiana|297.63873|180.106|-10.56|0.37|0.52
The 4th Dimension (LP Version)|Devo|1984|Georgia|264.33261|144.801|-10.499|0.53|nan
Harmonia|Pitch Black|0|Oakland, CA|377.36444|130.957|-6.597|0.43|nan
Greatest X|Janet Jackson|2008|Los Angeles &amp; New York|263.02649|114.024|-7.006|0.58|nan
Girle Girle|Dr Bombay|0||192.02567|137.96|-5.884|0.35|0.49
It Don't Mean A Thing (If It Ain't Got That Swing)|Charlie Byrd|1991|Chuckatuck, VA|229.32853|109.542|-14.048|0.31|nan
Rosa Rio|Jim Reeves|2000|Galloway, Panola County, TX|175.01995|158.763|-11.727|0.46|0.3
Heaven (LP Version)|Rude Boys|0||289.95873|97.03|-14.544|0.43|0.0
Lord of Shadows and Golden Wood|Beherit|1993|Helsinki|202.91873|130.955|-18.65|0.43|0.54
Riot In Cell Block N.9|Commander Cody And His Lost Planet Airman|0||199.13098|49.565|-10.646|0.38|nan
Sittin' Here With Nothing|Big Mike Griffin|0||233.53424|137.496|-5.815|0.33|nan
Jah The Only One|Rocker-T|0|Wisconsin|265.37751|147.882|-6.089|0.35|0.22
We've Got It All|John Davis|0|Pennsylvania|121.91302|102.769|-11.534|0.39|nan
Canon In D|Tom Barabas|0||455.02649|100.148|-17.604|0.39|0.24
Dangerous Mood|Keb' Mo'|1996|Los Angeles, CA|297.66485|106.802|-9.032|0.47|0.67
The Hotness (ft. Shontelle)|Rihanna|0|St Michael, Barbados |190.4322|116.012|-8.464|0.91|0.47
Big Sister|I.N.T.|0|NY - New York City|152.92036|93.105|-7.433|0.34|0.27
Elle Voulait Jouer Cabaret|Patricia Kaas|1988||247.11791|130.272|-8.016|0.4|nan
A ti|Alturas|0||279.84934|136.874|-12.891|0.24|0.0
Akh Larh Gayee|Malkit Singh|0||370.85995|101.13|-14.03|0.32|nan
Leaving Melbourne|TEN MADISON|2006||283.76771|133.326|-7.827|0.35|0.41
Galope A Beira Mar|Quinteto Violado|0||162.08934|125.224|-13.136|0.32|nan
This Is My Life|Phil Vassar|2008|Lynchburg, VA|217.28608|94.007|-4.35|0.5|0.6
Where Ya Heart At|Mobb Deep|1999|Queensbridge, NY|264.64608|93.976|-7.101|0.5|0.61
Aphrodite (1999 Digital Remaster)|The Edgar Broughton Band|1970||245.44608|100.799|-12.135|0.35|0.0
Moving Mountains|Usher|2008|Atlanta, GA|309.83791|126.955|-5.692|0.85|nan
Te Parto el Alma (inter. El Tariacuri)|Varios|0||128.62649|83.872|-8.357|0.33|nan
When You Were Young|The Killers|2006||269.76608|130.065|-7.477|0.82|nan
M. tagu va au marché|Klimperei|0|FR|103.47057|111.042|-6.302|0.31|nan
Satin Doll|The Wes Montgomery Trio|1987||246.80444|137.11|-19.802|0.32|0.0
Suckin' On Suzie|The Hollywood Brats|0||367.49016|164.026|-9.102|0.37|0.27
Trouble (Studio)|Buckwheat Zydeco|0|Lafayette, LA|233.50812|148.371|-5.588|0.42|0.22
What You Want|LL Cool J / Freeway|2006|Bayshore, Long Island, NY|264.48934|50.51|-4.628|0.54|0.41
Wailin'|OutKast|1996|Atlanta, GA|118.9873|95.381|-10.817|0.57|0.77
Precís|Casual|2008|California - LA|213.55057|156.007|-5.846|0.4|nan
Terve menoo jätkänretale|Irwin Goodman|1977|Hämeenlinna|200.9073|108.199|-5.901|0.43|nan
Ask You for a Dance|Freddie McGregor|0||247.64036|114.013|-7.065|0.37|0.31
On The Money|Joe McBride|0||258.35057|93.986|-7.028|0.34|0.0
25 Variations And Fugue On A Theme By G.F. Handel For Piano_ Op. 24: Variation XVII|Solomon|0|New York|37.48526|110.647|-27.239|0.34|nan
Juke Joint|Farlow-Kirch Band|0|California - SF|220.13342|187.495|-9.851|0.0|0.0
I Love You More Than You'll Ever Know|Mick Hucknall|0||406.93506|107.398|-10.452|0.32|0.0
You Are Holy|4Him|1995||296.98567|139.919|-9.908|0.45|0.41
In The Hills|Jim Chappell|1994|United States|227.36934|126.052|-14.893|0.36|0.0
Map Your Psyche|Busdriver featuring Abstract Rude & Ellay Khule|2005||255.63383|114.895|-12.09|0.35|0.53
Watch Out for The Birdsongs|Goldfish|2007||159.45098|139.987|-5.529|0.44|0.21
I'm Gonna Let My Love Flow|Commissioned|0|Michigan|235.72853|124.066|-13.644|0.41|0.0
Friday Night|Sex Machine ft. Shèna|2006|Michigan|418.87302|127.996|-4.956|0.3|nan
We're Here To Stay|M.I.K.E.|0|Antwerp,Belgium, New York|479.81669|136.021|-7.383|0.41|nan
Red Hot Pepper Pot|Gloria De Haven|0||163.42159|179.688|-12.265|0.04|0.0
Tschung Mori|Megadrums|0||104.64608|118.087|-18.922|0.06|nan
Rhymin' Spielin'|fIREHOSE|1988||122.64444|108.489|-15.855|0.39|0.38
Una noche serena y obscura|Antonio Bribiesca|0||151.92771|108.635|-12.705|0.27|nan
Here Comes The Big Parade|Harry Connick_ Jr.|1994|New Orleans, LA|251.76771|138.408|-6.131|0.53|0.5
Intro|Styles P|2002|New York, NY [Queens]|85.02812|93.412|-11.895|0.47|0.54
I Cannot Believe It's True|Phil Collins|1982|Chiswick, London, England|316.39465|121.044|-11.763|0.58|0.55
Missing (Olivier Berger Mix)|Nicola Fasano Feat. Paula B|0||445.33506|125.997|-9.305|0.37|nan
Chains Of Love|Joe Turner|0|Mississippi|198.50404|101.77|-16.274|0.36|nan
Shifty Disco Girl|Helen Love|2000|Cardiff, Wales|185.36444|95.575|-7.531|0.35|0.41
Where To Piss And Shit In Oslo|Black Debbath|2009|Oslo, Norway|278.46485|132.642|-5.808|0.39|nan
Show Me|Justin|0|Georgia|203.2322|104.71|-4.703|0.34|nan
Minuet in g minor|The American Boychoir|0|New Jersey|122.51383|104.289|-36.353|0.29|nan
Borrare Tu Nombre|Mazz|0||209.10975|107.233|-8.28|0.36|0.0
Come Next Monday|K.T. Oslin|1993|Crossett, AR|229.45914|163.969|-8.705|0.36|nan
When My Ship Comes In|Eddie Cantor|1994|New York, NY|196.88444|77.963|-14.618|0.33|nan
Headlock|Esser|2008||191.55546|121.988|-4.622|0.38|nan
Kids Of Tragedy|Suzi Quatro|2004|Detroit, MI|207.882|124.519|-11.38|0.41|0.38
Kinky Afro [Remastered Version]|Happy Mondays|0|Manchester, England|239.75138|117.933|-6.243|0.42|0.0
Comme hier|Georges Brassens|1953|S�, France|100.8322|75.064|-13.624|0.39|nan
Too Bad|Royal Bubble Orchestra|0||184.81587|94.055|-6.215|0.32|0.0
Cheer Up! Smile! Nertz!|Eddie Cantor|0|New York, NY|116.34893|112.896|-9.792|0.33|0.3
Tenhert|Tinariwen|2009|Mali, Africa|328.85506|93.325|-7.155|0.47|nan
New Shoes|Dottie Rambo_ The Whites|0|NASHVILLE, US|130.29832|103.014|-7.157|0.4|nan
Dream On (LP Version)|Blackfoot|0|Jacksonville, FL|316.99546|123.415|-12.377|0.44|0.56
Sweet Harmony (LP Version)|Maria Muldaur|0|New York, NY|288.41751|146.936|-10.861|0.43|0.0
Lil' Boy Fresh|Juelz Santana|2005|New York, NY [Harlem]|233.92608|99.742|-4.148|0.53|0.73
Ovanlär|Bröderna Djup|0||114.1024|199.675|-9.619|0.25|nan
Samba de Paris|Kyle Eastwood|2009||441.7824|115.212|-12.712|0.41|0.45
The River|Curtis|0||256.62649|103.377|-8.05|0.26|nan
Stand Down|Stickboy|0|North Carolina|67.52608|180.287|-6.047|0.37|nan
All Of You|Gerald Clayton|2009||329.37751|94.978|-16.849|0.28|0.36
Don't Look Back|Grandpa Jones|1995|Niagra, KY|139.78077|129.391|-11.901|0.33|nan
Juke Appeal|DJ Rashad|0||306.59873|160.046|-8.656|0.37|nan
Kinghead Shuffle (Little Freddie King)|Little Freddie King|0|Louisiana|229.04118|130.58|-10.491|0.34|0.36
Mother's Little Helper|Wild Horses|0||174.18404|103.047|-7.458|0.31|0.25
Sun Shower (Single Version)|Busdriver|2007||223.68608|130.129|-7.331|0.35|nan
God Smack|Alice In Chains|1992|Seattle, WA|230.60853|124.144|-4.438|0.58|0.82
Portland_ Oregon|The Cat's Miaow|1997|Australia|125.25669|146.909|-13.386|0.35|nan
A Rush Of Blood To The Head (Live In Sydney)|Coldplay|2003||410.8273|138.038|-8.229|0.92|0.56
Blue Moon|T-Bone|0|Thaba Nchu|248.45016|124.04|-7.836|0.46|nan
I singe dir es Lied|Kisha|0||206.21016|139.914|-12.146|0.35|nan
Fantasia 6: Mudarra|Terry Muska|0|Texas|91.61098|107.016|-16.548|0.0|nan
Saturday Night Special|Mars Ill|0||287.55546|69.313|-5.333|0.33|0.0
Speak Low|Mike Vax|0||229.61587|78.109|-16.113|0.22|nan
Room 13|Black Flag|1981|Los Angeles, CA|79.51628|190.6|-4.606|0.55|nan
Synthesizer|OutKast featuring George Clinton|1998|Atlanta, GA|311.30077|94.904|-6.791|0.57|0.63
We Got Da Dope|Three-6 Mafia|0|Memphis, TN|159.81669|157.991|-9.33|0.56|0.48
Feelin` Alone|2-Gether feat. Sarinah|0||294.00771|127.977|-6.38|0.41|nan
Adventure No. 8|Jim Chappell|0|United States|208.87465|109.196|-18.254|0.36|0.57
Silent Movies (Album Version)|Grant Geissman|1993|PEARLINGTON, Mississippi|349.23057|100.329|-13.752|0.32|nan
Shawty Get Loose|DJ Nasty|0||191.89506|130.149|-3.631|0.3|nan
Church_ I'm Fully Saved Today|Blind Willie Johnson|1991|Marlin, TX|187.14077|97.761|-15.89|0.4|nan
Pauvre Jean|Jacques Douai|0||60.89098|127.14|-18.852|0.15|nan
Fruko's  Boogaloo|Fruko Y Sus Tesos|0||263.33995|219.796|-6.974|0.37|0.25
"Return Of The ""G"|OutKast|1998|Atlanta, GA|289.25342|156.688|-6.407|0.57|nan
Laundry & Dishes|Adrienne Pierce|2008|Canada|269.63546|151.945|-8.425|0.41|0.43
Estoy Contigo|Selena|0|Texas|198.45179|104.795|-10.333|0.55|0.0
The Things That I Used To Do|Guitar Slim|1953|Greenwood, MS|183.06567|96.731|-13.164|0.32|nan
Face|Dave Rave_ Mark McCarron|0|CANADA - Ontario|90.38322|92.005|-19.661|0.0|nan
Vaya (Live At The Beacon Theatre)|Ray Barretto|0|Brooklyn, NY|413.07383|82.815|-10.999|0.38|0.0
Life Of A Star|MIMS|2009|New York, NY [Washington Heights]|230.53016|127.779|-4.213|0.52|0.41
Los Conguitos|Mongo Santamaria|1959|Havana, Cuba [Jesus Maria]|130.01098|120.446|-23.581|0.36|0.0
Samba De Duas Notas|Luiz Bonfa|2005|Rio de Janeiro, Brazil|192.78322|124.842|-14.05|0.35|nan
Lontananza|Fruko Y Sus Tesos|0||189.88363|106.449|-8.445|0.37|0.23
Halt mich|Herbstrock|0||203.4673|99.995|-4.295|0.0|0.3
Is It A Myth?|K'Naan|2007|Mogadishu, Somalia|213.13261|100.567|-14.254|0.54|0.48
Long Day (Album Version)|Soul Asylum|0|Minneapolis, MN|166.26893|70.778|-11.207|0.47|0.3
Lost|The Cure|2004|Crawley, England|232.48934|85.006|-11.199|0.58|nan
Melangtäras intåg i Kallsta|Sven Scholander|0||191.42485|113.01|-18.283|0.0|0.0
Still Caah Nicer Dan Yard|Shaggy|0|Kingston, Jamaica|187.03628|114.318|-5.252|0.54|nan
Quando io leggio... Son gli ebbri... O mio castel... Nell'argilla...|Ramón Vargas|0||642.92526|155.641|-21.908|0.29|nan
Rhapsody In Blue|Arthur Fiedler;Earl Wild;Pasquale Cardillo|0|Boston, MA|976.56118|127.579|-19.303|0.38|0.0
Everybody Loves You|Helmet|2004|New York|206.94159|112.77|-3.568|0.49|0.54
Castle Of My Dreams|Tex Williams|0|Ramsey, Fayette County, IL|148.79302|40.875|-12.845|0.31|0.0
The Long Goodbye|Miranda Lee Richards|2001|Los Angeles CA|243.722|116.123|-8.141|0.4|0.3
Que Devient Ton Poing Quand Tu Tends Les Doigts|Miossec|1995|Brest, France|159.60771|103.005|-8.503|0.36|nan
Price Of The Fire|John Stewart|0|San Diego, CA|290.53342|91.496|-14.28|0.35|0.0
I Only Want To Love You|Nicky B|0||184.34567|124.556|-12.041|0.41|0.27
Stop It|The Frequency|2004||195.21261|118.008|-9.334|0.34|nan
Life Is Wild|The Clash|1985|London, England|159.65995|150.871|-5.612|0.6|nan
Es klappert die Mühle|Frederik|0||113.99791|160.114|-6.465|0.35|nan
O Mein Papa|Eddie Calvert|2001||163.52608|107.302|-11.977|0.31|0.22
Ain't Goin' To Beg You For That Stuff|The Hokum Boys|0||209.73669|116.096|-20.349|0.0|nan
Ruff Ryder's Anthem (Guide Vocal)|Karaoke (Made famous by DMX)|0||218.17424|91.001|-11.382|0.51|nan
Pretty Girl (Amended Version)|No Address|2005|Tallahassee, FL|286.4322|87.106|-8.1|0.34|0.51
Aqui Estoy|Mr. Grillo|0||208.45669|191.956|-5.641|0.0|0.0
Pork Chop Sandwich|Hinge|0||247.48363|86.061|-5.154|0.35|0.27
Estacao Primeira Da Mangueira_ Viva Do Samba|Samba Enredo|0||202.05669|139.344|-10.415|0.0|nan
Mefistofele/La luna immobile|Michèle Crider;Eleonora Jankovic;Vincenzo La Scola;Riccardo Muti|0||225.30567|39.187|-36.577|0.0|nan
One of Us|Bottom Of The Hudson|2005|Charlottesville, VA|193.35791|106.14|-7.474|0.36|0.22
Break The Ice|Britney Spears|2007|Kentwood, LA; Los Angeles, CA|530.12853|130.012|-5.432|0.61|nan
Half Way Up The Stairs|Delroy Wilson|0|Kingston, Jamaica|191.99955|147.791|-8.045|0.39|0.0
It's Bad For Me (Album Version)|The Roches|1980|New York City|165.98159|34.335|-20.394|0.37|0.0
Untitled|Rhian Sheehan|2004|Wellington|38.922|83.412|-18.406|0.41|0.0
I'm On The Run|JennyAnyKind|2003|North Carolina|326.79138|150.243|-10.854|0.3|0.0
Sorry Feat. Rafaqat Ali Khan|Rishi Rich|2006||235.25832|71.14|-7.676|0.33|nan
I Am|Devanic|2006|Vienna|336.06485|87.044|-7.071|0.25|nan
If I Can't Have You|Jackie Wilson|1958|Detroit, MI|101.77261|161.728|-10.283|0.42|nan
Medley: Father_ I Adore You/More Precious Than Silver|Cadet|0|Eugene, OR|267.07546|80.721|-5.105|0.36|0.0
Si Tu Me Dices Ven|Isabel Pantoja|0||220.94322|73.811|-6.451|0.36|0.24
Xi Yang Wu Xian Hao|Eason Chan|0||241.44934|81.999|-13.294|0.4|nan
We Wanna Change Our Band Name|Sex Machine|0|Michigan|148.47955|170.167|-2.972|0.3|0.0
Soliloquy (2001 Digital Remaster)|Gordon MacRae|0||470.9873|133.017|-14.563|0.31|nan
Widescreen|Pinch|0|Illinois|288.39138|70.047|-10.411|0.36|0.54
The Devil Made Me Do Dat (LP Version)|Young-Holt Unlimited|1970|Chicago, IL|176.63955|166.796|-11.987|0.22|nan
Dyna|Kanda Bongo Man|0|Inongo, Zaire|500.6624|131.444|-12.602|0.32|nan
La Bamba|The Tokens|1994|Brooklyn, NY|154.06975|83.809|-10.319|0.41|nan
Largo|Angel Romero / The Academy of St. Martin in the Fields / Iona Brown|0||141.322|106.98|-29.128|0.33|0.0
Tarha Tinghi|Philippe Eidel|0||301.11302|136.955|-10.685|0.26|nan
Pichleh Janam Dee|XLNC|1998||386.55955|160.08|-12.373|0.28|nan
Watermelon Man|Johnny Kidd And The Pirates|0||150.07302|88.521|-17.914|0.35|0.0
Controlando El Area|Daddy Yankee / Bounty Killer|0|Puerto Rico|212.08771|220.311|-5.394|0.56|0.31
Turn This Thing Around|El Presidente|0||213.05424|111.043|-4.353|0.33|nan
Boll Weevil|Blind Willie McTell|2001|Thomson, GA|116.34893|130.36|-15.872|0.39|nan
Gwithian|Luke Vibert|2005||418.79465|101.905|-15.199|0.44|0.53
EZ Cuz You're Beautiful (Album Version)|Shifty|2004|Los Angeles, California|192.91383|163.884|-5.295|0.44|0.59
Sitting In A Dim Café|Conway Twitty|0|Friars Point, MS|157.12608|89.71|-14.626|0.49|0.23
Techno Cumbia|Selena|0|Texas|225.17506|90.971|-7.572|0.55|0.53
Manila|Martin Denny|1996|New York, NY|144.71791|125.052|-17.306|0.38|nan
Decide|Chelsea|1979|England|301.71383|86.727|-9.869|0.35|nan
Temblando|Alex Ubago|2003|Vitoria, Spain|201.09016|96.7|-8.205|0.3|0.41
I Want You Back|The Plimsouls|1981||147.9571|123.452|-7.842|0.38|0.51
Heartburn|Alicia Keys|2003|Harlem, New York|183.43138|105.775|-9.74|0.78|0.68
Put Your Hand In The Hand|Rance Allen Group|0|Detroit, MI|252.36853|163.381|-12.48|0.31|0.0
Woodcarver|Glen Campbell|0|Delight, AR|202.70975|152.082|-8.472|0.48|nan
LDN (Warbox Original Cut Dub)|Lily Allen|2009|LDN|234.1873|99.982|-7.794|0.54|nan
Artie In The Sky|Artie Fishel & The Promised Band|0||28.83873|100.08|-21.501|0.0|0.0
Through Bucky's Eyes|Michael Gettel|1992||232.77669|103.3|-22.42|0.33|nan
Sleepwalkers|Non Phixion|1999||222.56281|96.093|-5.724|0.42|0.52
Welcome|Les Bonapartes|0||190.69342|181.801|-6.779|0.36|0.22
One Shine|The Roots|0|Philadelphia, Pennsylvania, U.S.|340.40118|98.008|-10.345|0.6|0.58
The Big Rock (LP Version)|Maire Brennan|0||184.34567|135.124|-9.584|0.39|0.53
Don't Stop|Flame|0|St Louis MO|190.37995|121.015|-8.402|0.44|0.0
What's Your Damage?|Test Icicles|2005||216.45016|174.942|-2.756|0.37|nan
Stay With Me|Michal|0|NY - New York City|217.39057|149.897|-6.553|0.35|nan
RECKLESS|This Is Hell|2008|Long Island, NY|119.7971|150.006|-5.261|0.49|0.73
Tender Lies|Beres Hammond|0||193.07057|170.114|-15.998|0.45|0.22
Brillantin' Brutal'|Falco|1984|Vienna, Austria|228.12689|123.028|-13.844|0.49|nan
Living Dead|The Plasmatics|0||94.51057|124.439|-5.116|0.0|nan
Gib mir den Tod (Live)|Der Moderne Man|0||238.8371|96.154|-8.696|0.29|0.0
Chao Wo|Miriam Yeung|0||277.15873|135.064|-3.397|0.26|nan
Sigui|Djelimady Tounkara|2001||303.90812|125.693|-11.576|0.27|0.0
Whispering Grass - Original|Dee Clark|0|Blythesville, AR|178.49424|82.79|-20.418|0.34|nan
It Must Be Love (Live Acoustic Version)|Rickie Lee Jones|0|Chicago, IL|287.16363|90.373|-15.502|0.5|0.27
Autobahn (Live)|Kraftwerk|2008|D�orf, Germany|531.61751|166.015|-9.827|0.52|nan
Frustration|Rocket From The Tombs|2002|Cleveland, OH|138.44853|164.23|-7.359|0.36|nan
Slash|Long John Hunter|0|Louisiana|117.83791|81.988|-10.688|0.32|0.0
What It Do|J.R. Writer_ Jha Jha|0||145.10975|151.936|-9.146|0.39|0.27
Midnight Rider|Buddy Miles|1997|Omaha, NE|218.3571|94.57|-9.978|0.42|0.27
Two Wars|This Or The Apocalypse|2008||293.66812|163.935|-4.256|0.49|0.54
Out Of The Danger Zone (Degarmo And Key Album Version)|DeGarmo & Key|0||173.19138|127.89|-7.099|0.32|nan
Miserere: XI. Cor Mundum|Dan Shen_ Gruppo Vocale Cantemus_ Ensemble Airone_ Luigi Marzola|0||84.1922|59.49|-20.105|0.0|nan
Lillie Anne|Chalk Farm|1996||294.08608|191.033|-7.795|0.25|nan
Take Me To Paradise (Nicky Scanni's Garage Mix)|Will To Will|0||508.65587|129.818|-18.495|0.0|nan
Thrill Me (Atfc's Jackhammer Re-Rub)|Junior Jack|2002||482.55955|0.0|-11.985|0.39|nan
Sunday Morning (Sony Connect Set)|K-OS|0||214.17751|88.282|-6.956|0.43|nan
A Sound That Only You Can Hear|K's Choice|1995||252.83873|87.495|-6.575|0.45|0.67
I'm A Believer|Tyrone Taylor|0||229.35465|91.995|-4.268|0.3|nan
The Other Boleyn Girl - Opening Titles|Paul Cantelon|2008||146.442|130.183|-20.178|0.35|nan
Maiden Voyage (Rudy Van Gelder Edition) (2006 Digital Remaster)|Bobby Hutcherson|1967|Los Angeles, CA|349.72689|86.446|-12.939|0.39|0.27
Up On That Cloud|Blue Rodeo|2005|Toronto, Ontario, Canada|213.34159|189.068|-5.972|0.45|0.47
Gaita Gaitero|Rincon Morales|0||197.0673|65.316|-10.325|0.16|0.0
Freeword|D.O.W.N.|0||350.11873|109.791|-7.063|0.54|0.0
Man In A Suitcase|The Police|1980|London, England|137.45587|159.106|-11.636|0.62|nan
Baltimore Oriole (2004 Digital Remaster)|George Harrison|1981|Liverpool, England|238.602|71.756|-6.692|0.54|nan
Columbia|Oasis|0|Manchester, England|376.99873|100.382|-3.811|0.55|0.7
Baby's First Christmas|Connie Francis|1959|Newark, NJ|147.17342|137.99|-9.378|0.46|0.38
Liar of Nastrond|Goatwhore|0|New Orleans, LA|153.49506|99.805|-7.09|0.43|nan
Desperate Man Blues|Daniel Johnston|1983|Sacramento, CA|219.76771|92.938|-24.308|0.47|0.69
Interlude (Album Version)|My Chemical Romance|2004|New Jersey|57.18159|132.474|-22.42|0.77|0.83
Satanic Majesty|PitchBlack|0|Oakland, CA|292.70159|208.865|-4.427|0.43|0.0
Held Der Tastatur|Melanie And The Secret Army|0||255.58159|144.319|-2.122|0.0|0.0
The Nightmare Begins|ZombieSuckers|2010||62.95465|42.58|-22.904|0.4|nan
Open Up Your Mind (Guido Osorio Club Mix)|Eyes Cream|2002||492.30322|129.994|-7.052|0.23|0.0
Better Believe It Remix (feat. Bun B_ Trae_ Yo Gotti & Foxx)|Lil Boosie feat. Bun B_ Trae_ Yo Gotti & Foxx|2009||318.79791|125.827|-13.135|0.54|0.25
Ready For The Floor (Radio Edit)|Hot Chip|2008|London|202.10893|128.988|-5.087|0.54|nan
Planetary Takeover|Snowgoons|2009|Karlsruhe, Germany|239.64689|94.281|-4.615|0.46|nan
Bliss|The Dreamtree Project|2007||798.1971|134.291|-16.183|0.29|0.33
Spencer-Tracey|Danny Wilson|1987|Dundee, Scotland|92.42077|158.208|-14.655|0.36|0.0
Agrymonyzer (Matsingena Mix)|Joy Kitikonti|0||384.57424|137.999|-7.856|0.37|nan
Que paso|D.A.R.|0||250.122|176.298|-6.657|0.26|nan
Just A Glance Away|Sam Baker|0|Austin, TX|167.10485|95.882|-17.756|0.34|nan
You Make Me Feel So Good|Simon Harris|0||6.08608|0.0|-18.797|0.21|nan
Who Cares|Don Gibson|1987|Shelby, North Carolina|142.94159|104.943|-13.524|0.38|nan
Forever Until Sunday|Bruford|1979||351.42485|78.136|-14.857|0.0|nan
Lust for life (recorded during the us tour in 1986)|Iggy Pop|0|Muskegon, MI|294.3473|119.121|-12.66|0.57|nan
Humanity|The Berzerker|2000|Melbourne, Australia|105.45587|86.5|-6.952|0.46|0.5
Rosalita (Come Out Tonight)|Bruce Springsteen|1973|Freehold, NJ|591.62077|167.559|-5.67|0.84|nan
Tenemos Amigos|Dora The Explorer|0||59.95057|106.298|-6.167|0.41|0.52
Lover|Spade Cooley|0||108.87791|172.612|-29.378|0.36|0.0
Deep Inside|Converge|0|Boston, Brooklyn USA|407.03955|152.775|-7.49|0.53|0.29
Hear Me Now|Wet Wet Wet|2004|Glasgow, Scotland|242.65098|95.465|-7.811|0.41|0.56
Großraumbrand|ZENFU|0||226.82077|124.887|-6.054|0.0|nan
Thorns of Charon (Pt. 2) - Emerge from Hades|Astarte|1998|Athens, Greece|419.97016|156.15|-4.012|0.35|0.35
Yesterdays|Vince Guaraldi Trio|1964|San Francisco, CA|242.9122|92.4|-25.924|0.41|0.27
To Pirame|Imiskoubria|0||211.64363|180.077|-8.85|0.3|nan
El Bipper|Los Traileros Del Norte|0||201.03791|111.944|-6.005|0.3|nan
Joe Avery's Piece|Harry Connick_ Jr|1979|New Orleans, LA|192.07791|181.469|-10.7|0.53|0.0
Sonata I.X.1905: I. Preduycha (Janácek)|Massimiliano Damerini|0||397.81832|99.809|-23.042|0.0|nan
How Insensitive|Charlie Byrd|2004|Chuckatuck, VA|361.56036|121.887|-22.937|0.31|nan
Shadrach (2009 Digital Remaster)|Beastie Boys|0|New York, NY|248.13669|100.649|-12.173|0.53|0.34
A Love That Keeps On Giving (Silent Witness Album Version)|Jeff And Sheri Easter|0||191.99955|101.943|-10.301|0.39|nan
Halintamyymälän aamutoimet|Juice Leskinen|0||271.77751|107.769|-13.589|0.43|0.27
I Saw Destruction|The Scare|2009||209.71057|110.161|-4.745|0.4|nan
Monsoon|Jack Johnson|2008|Galveston, TX|264.82893|142.449|-6.892|0.68|0.74
Unconditionally (Soul and R&B)|Willie Clayton|0|Indianola, MS|279.7971|141.992|-8.681|0.37|0.29
I Love It [Clubstar Remix]|Sneaky Sound System|2006|Sydney, Australia|342.02077|145.032|-6.424|0.45|0.0
Are You Home|Singing Melody Feat. Robyn|0||213.31546|97.289|-5.688|0.33|0.0
World Of The Video Game|Shinehead|0|London, England|227.34322|140.281|-12.955|0.41|0.0
Arrivederci Roma|Sergio Franchi|0|Italy|203.72853|90.098|-17.962|0.23|0.27
Mine Yuh Business|Johnny Osbourne|0||209.162|85.714|-10.901|0.41|nan
No La Dejes Sola|Los Titanes|2008||214.17751|103.548|-6.453|0.38|0.47
Christelle Est Une Ordure|Bénabar|2005||224.9922|100.312|-14.658|0.37|0.0
Punjabian Di Chale Glassi|Bally Sagoo|2003||282.25261|96.043|-12.686|0.35|0.0
Burlesque burglary|Cool cavemen|0|Lille, France|261.8771|90.267|-4.774|0.23|0.0
Encore|Roni Size|0|Bristol, England|268.9824|87.618|-2.904|0.48|0.36
Prove Something (explicit album version)|Fat Joe|2002|Bronx, NY|235.17995|159.499|-3.775|0.57|0.23
Mystic River|Blue Rodeo|2007|Toronto, Ontario, Canada|251.402|121.795|-7.225|0.45|0.33
My Mind Is Gone|3 Steps Ahead|1997||45.50485|74.551|-16.459|0.4|nan
Romance|Whitney Cummings|2009||48.63955|106.41|-4.429|0.31|0.22
Bar Talk|Ed Calle|0|Florida|253.51791|116.034|-6.803|0.28|0.0
Happy Cycling|Boards of Canada|1996|Scotland|472.52853|100.013|-13.207|0.53|0.69
Urbania|Statues|0|Sudbury, Ontario - Canada|211.01669|107.892|-8.873|0.34|0.0
Double Jig: The Rolling Wave|Willie Clancy|0|Miltown Malbay, Ireland|105.74322|145.635|-11.367|0.28|nan
Cursed Again|MU330|1997|St. Louis, MO|132.44036|126.274|-7.554|0.39|0.46
We Will Rock You|Nickelback|2005|Hanna, Alberta, Canada|119.7971|161.909|-5.535|0.78|0.63
Personal Tragedy|Ron Goodwin|1999|Plymouth, Devon, England|47.51628|61.409|-19.995|0.33|0.21
Fair Diana|Johnny Keating & All Stars|0||160.31302|118.617|-13.567|0.0|nan
Heiliges Feuer|A Challenge Of Honour|0||242.28526|120.059|-13.459|0.43|0.37
Frontiers (LP Version)|Bela Fleck And The Flecktones|0||368.53506|227.48|-20.335|0.27|nan
